week_start_date,year_iso,week_iso,week_label,mes_calendario,plano,novos_signups,ativados_30d,taxa_ativacao_pct,pagantes_ativos_media_semana,cancelamentos_semana,churn_semanal_pct,nps,mau,dau_medio,ticket_medio_primeira_aplicacao_brl,aum_total_brl_milhoes,tickets_suporte_abertos
2025-12-01,2025,49,2025-W49,2025-12,Free,4632,1621,35.0,10080,433,4.3,49,12240,3120,258,24.0,115
2025-12-01,2025,49,2025-W49,2025-12,Pro,408,245,60.0,744,22,2.9,71,792,283,2520,66.0,25
2025-12-08,2025,50,2025-W50,2025-12,Free,5018,1756,35.0,10920,470,4.3,49,13260,3380,258,26.0,125
2025-12-08,2025,50,2025-W50,2025-12,Pro,442,265,60.0,806,23,2.9,71,858,307,2520,71.5,27
2025-12-15,2025,51,2025-W51,2025-12,Free,4825,1689,35.0,10500,452,4.3,49,12750,3250,258,25.0,120
2025-12-15,2025,51,2025-W51,2025-12,Pro,425,255,60.0,775,22,2.9,71,825,295,2520,68.8,26
2025-12-22,2025,52,2025-W52,2025-12,Free,4825,1689,35.0,10500,452,4.3,49,12750,3250,258,25.0,120
2025-12-22,2025,52,2025-W52,2025-12,Pro,425,255,60.0,775,22,2.9,71,825,295,2520,68.8,26
2025-12-29,2026,1,2026-W01,2026-01,Free,3838,1228,32.0,7885,394,5.0,45,9500,2318,250,18.6,114
2025-12-29,2026,1,2026-W01,2026-01,Pro,342,198,58.0,646,22,3.38,68,684,238,2400,53.2,27
2026-01-05,2026,2,2026-W02,2026-01,Free,4242,1357,32.0,8715,436,5.0,45,10500,2562,250,20.6,126
2026-01-05,2026,2,2026-W02,2026-01,Pro,378,219,58.0,714,24,3.38,68,756,262,2400,58.8,29
2026-01-12,2026,3,2026-W03,2026-01,Free,4040,1293,32.0,8300,415,5.0,45,10000,2440,250,19.6,120
2026-01-12,2026,3,2026-W03,2026-01,Pro,360,209,58.0,680,23,3.38,68,720,250,2400,56.0,28
2026-01-19,2026,4,2026-W04,2026-01,Free,4040,1293,32.0,8300,415,5.0,45,10000,2440,250,19.6,120
2026-01-19,2026,4,2026-W04,2026-01,Pro,360,209,58.0,680,23,3.38,68,720,250,2400,56.0,28
2026-01-26,2026,5,2026-W05,2026-01,Free,4040,1293,32.0,8300,415,5.0,45,10000,2440,250,19.6,120
2026-01-26,2026,5,2026-W05,2026-01,Pro,360,209,58.0,680,23,3.38,68,720,250,2400,56.0,28
2026-02-02,2026,6,2026-W06,2026-02,Free,5712,1542,27.0,9816,588,5.99,42,11760,2760,242,22.8,173
2026-02-02,2026,6,2026-W06,2026-02,Pro,528,275,52.0,888,36,4.0,65,948,319,2350,68.4,41
2026-02-09,2026,7,2026-W07,2026-02,Free,6188,1671,27.0,10634,637,5.99,42,12740,2990,242,24.7,187
2026-02-09,2026,7,2026-W07,2026-02,Pro,572,297,52.0,962,38,4.0,65,1027,346,2350,74.1,44
2026-02-16,2026,8,2026-W08,2026-02,Free,5950,1606,27.0,10225,612,5.99,42,12250,2875,242,23.8,180
2026-02-16,2026,8,2026-W08,2026-02,Pro,550,286,52.0,925,37,4.0,65,988,332,2350,71.2,42
2026-02-23,2026,9,2026-W09,2026-02,Free,5950,1606,27.0,10225,612,5.99,42,12250,2875,242,23.8,180
2026-02-23,2026,9,2026-W09,2026-02,Pro,550,286,52.0,925,37,4.0,65,988,332,2350,71.2,42
2026-03-02,2026,10,2026-W10,2026-03,Free,6576,1447,22.0,9552,668,7.0,38,11400,2592,235,22.1,211
2026-03-02,2026,10,2026-W10,2026-03,Pro,624,293,47.0,960,43,4.5,62,1032,341,2300,69.6,50
2026-03-09,2026,11,2026-W11,2026-03,Free,7124,1567,22.0,10348,724,7.0,38,12350,2808,235,23.9,229
2026-03-09,2026,11,2026-W11,2026-03,Pro,676,318,47.0,1040,47,4.5,62,1118,369,2300,75.4,55
2026-03-16,2026,12,2026-W12,2026-03,Free,6850,1507,22.0,9950,696,7.0,38,11875,2700,235,23.0,220
2026-03-16,2026,12,2026-W12,2026-03,Pro,650,306,47.0,1000,45,4.5,62,1075,355,2300,72.5,52
2026-03-23,2026,13,2026-W13,2026-03,Free,6850,1507,22.0,9950,696,7.0,38,11875,2700,235,23.0,220
2026-03-23,2026,13,2026-W13,2026-03,Pro,650,306,47.0,1000,45,4.5,62,1075,355,2300,72.5,52
